,city,URL,title,date,time,venue,details,user,tags
169,Seattle,N/A,N/A,N/A,N/A,N/A,rt @seattledsalabor: join seattle dsa for an in-person workshop that will teach you the skills you need to organize your workplace on satur…,Twitter User @lucssidy,[]
170,Seattle,N/A,N/A,N/A,N/A,N/A,rt @seattledsalabor: join seattle dsa for an in-person workshop that will teach you the skills you need to organize your workplace on satur…,Twitter User @SeattleDSA,[]
171,Seattle,N/A,N/A,N/A,N/A,N/A,#swipe: here are the top shows and events coming to seattle this december ☃️❄️ https://t.co/gl8pisou9n,Twitter User @dubseamusic,['swipe']
172,Seattle,N/A,N/A,N/A,N/A,N/A,rt @seattledsalabor: join seattle dsa for an in-person workshop that will teach you the skills you need to organize your workplace on satur…,Twitter User @rauch_connor,[]
173,Seattle,N/A,N/A,N/A,N/A,N/A,rt @seattledsalabor: join seattle dsa for an in-person workshop that will teach you the skills you need to organize your workplace on satur…,Twitter User @dntStartTheFire,[]
174,Seattle,N/A,N/A,N/A,N/A,N/A,rt @seattledsalabor: join seattle dsa for an in-person workshop that will teach you the skills you need to organize your workplace on satur…,Twitter User @LiannaSchechter,[]
175,Seattle,N/A,N/A,N/A,N/A,N/A,rt @dbstewartmusic: seattle! rocking @highdiveseattle with pr 4 monsters and montlake traffic on december 23rd. we're taping the show and w…,Twitter User @dbstewartmusic,[]
176,Seattle,N/A,N/A,N/A,N/A,N/A,"join seattle dsa for an in-person workshop that will teach you the skills you need to organize your workplace on saturday, december 10 from 1 – 4pm at the capitol hill branch of the seattle public library. rsvp here: https://t.co/giybiyqqgh https://t.co/tji18kvnop",Twitter User @SeattleDSALabor,[]
177,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @eplsdotorg: join the library and @everettcity for wintertide! 

– seattle mandolin orchestra concert at the main library, today at 2 p.…",Twitter User @CMPaulaRhyne,[]
178,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @seattletimes: check out this seattle times list of outdoor happenings, local events, food recommendations and more for the weekend of d…",Twitter User @infomorsels,[]
179,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aewlive: #aew is making its seattle debut! be at the @climatearena wednesday, january 4th, 2023 for #aewdynamite live!

tickets starti…",Twitter User @hellosatnam,"['aew', 'aewdynamite']"
